%FA,Column diameter(m),Density of Gas (kg/m3),Density of Liquid (kg/m3),Diffusivity (m2/s),Interfacial Area (m2/m3),Liquid height (m),Molecular Weight of gas (kg/kmol),Pressure (kPa),Sparger Encode,Sparger hole diameter (m),Superficial gas velocity (m/s),Surface Tension of Liquid (N/m),Temperature (K),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Viscosity of Gas (Pa.s),Viscosity of Liquid (Pa.s),Volumetric Mass Transfer Coefficient (1/s),k_L (m/s)
0.16,0.1,1.19,1000,2.50E-09,40,2,28.84,101.3,2,0.004,0.014221,0.0723,296,,,,,,1.82E-05,0.001,0.014752,0.0003688
0.099722992,0.095,1.2,900,3.99E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.0078081,0.0235,293,,,,,,1.81E-05,0.000461,0.019624,0.00046607
0.099722992,0.095,1.2,896,1.50E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.051203,0.0315,293,,,,,,1.81E-05,0.00256,0.059299,0.001408351
0.16,0.1,1.19,997.2,2.70E-09,40,2,28.84,101.3,2,0.004,0.070382,0.07,296,,,,,,1.82E-05,0.000913,0.096831,0.002420775
0.300332843,0.152,1.2,1015,2.20E-09,26.31578947,1.31,28.84,101.3,2,0.00833,0.038344444,0.073,293,,,,,,1.81E-05,0.0011,0.033097222,0.001257694
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.0914,0.027,293,,,,,,1.79E-05,0.0022,0.1054,0.002635
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.0096767,0.0723,293,,,,,,1.79E-05,0.001,0.035587,0.000889675
2.703893607,0.316,2.246010745,897,4.35E-09,12.65822785,2.24,28.01,200,8,0.005,0.10256172,0.0287,300,,,,,,1.66E-05,0.00059,0.46519247,0.036750205
0.099722992,0.095,1.2,896,1.50E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.022639,0.0315,293,,,,,,1.81E-05,0.00256,0.030312,0.00071991
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.27471,0.0723,293,,,,,,1.79E-05,0.001,0.15166,0.02388645
0.099722992,0.095,1.2,867,3.22E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.0059531,0.0286,293,,,,,,1.81E-05,0.000669,0.017592,0.00041781
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.0068903,0.0723,293,,,,,,1.79E-05,0.001,0.02847,0.00071175
0.16,0.1,1.19,997.2,2.70E-09,40,2,28.84,101.3,2,0.004,0.042367,0.07,296,,,,,,1.82E-05,0.000913,0.057715,0.001442875
0.075577757,0.1455,1.2,995,2.60E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.035303,0.071,303,,,,,,1.81E-05,0.0007998,0.031603,0.001149559
0.1,0.162,1.2,1000,2.50E-09,24.69135802,1.306368,28.84,101.3,4,0.00254,0.30001932,0.0723,298,,,,,,1.81E-05,0.001,0.13655995,0.005530678
0.14,0.2,1.22,1000,2.09E-09,20,6.42,28.84,101.3,4,0.001,0.034622,0.073,289,,,,,,1.81E-05,0.0011,0.023921,0.00119605
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.097343,0.029,298,,,,,,1.83E-05,0.026,0.0084211,0.000213896
2.703893607,0.316,5.64175439,862,4.60E-09,12.65822785,2.24,28.01,502.38,8,0.005,0.1,0.0277,300,,,,,,1.66E-05,0.00054,0.45646,0.03606034
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.02,0.069208333,0.073,293,,,,,,1.81E-05,0.0011,0.067744444,0.010161667
2.615630231,0.1016,1.07,868,5.76E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.14397,0.0275,325,,,,,,1.93E-05,0.011,0.081066,0.002059076
0.099722992,0.095,1.2,896,1.50E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.030432,0.0315,293,,,,,,1.81E-05,0.00256,0.039735,0.000943706
0.099722992,0.095,1.2,1234,2.87E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.023784,0.0387,293,,,,,,1.81E-05,0.00082,0.052193,0.001239584
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.044534,0.0381,293,,,,,,1.81E-05,0.002,0.057846,0.001373842
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.014296,0.0381,293,,,,,,1.81E-05,0.002,0.023674,0.000562257
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.04,0.312222222,0.073,293,,,,,,1.81E-05,0.0011,0.180886111,0.027132917
2.615630231,0.1016,17.59,883,1.78E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.033376,0.0305,293,,,,,,1.79E-05,0.032,0.0114,0.00028956
2.615630231,0.1016,34,883,1.78E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.12033,0.0305,293,,,,,,1.79E-05,0.032,0.029684,0.000753974
1.69,0.1,1.165,1190,1.37E-09,40,1.3,28.84,101.3,2,0.013,0.106,0.0818,298,,,,,,1.85E-05,0.00187,0.059385,0.001484625
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.10599,0.029,298,,,,,,1.83E-05,0.026,0.0094737,0.000240632
0.300332843,0.152,1.2,1015,2.20E-09,26.31578947,1.74,28.84,101.3,2,0.00833,0.017275833,0.073,293,,,,,,1.81E-05,0.0011,0.014076667,0.000534913
2.703893607,0.316,2.16,862,4.60E-09,12.65822785,2.24,28.01,193.21325,8,0.005,0.07,0.0277,300,,,,,,1.66E-05,0.00054,0.20853496,0.016474262
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.082031,0.0723,293,,,,,,1.79E-05,0.001,0.075249,0.011851718
0.099722992,0.095,1.2,792,3.48E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.025208,0.0222,293,,,,,,1.81E-05,0.000586,0.047853,0.001136509
1.69,0.1,1.23,1055,1.69E-09,40,1.3,28.84,101.3,2,0.013,0.106,0.06985,289,,,,,,1.78E-05,0.0013,0.06475599,0.0016189
0.1,0.162,1.2,1000,2.50E-09,24.69135802,1.40398272,28.84,101.3,4,0.00254,0.200163,0.0723,298,,,,,,1.81E-05,0.001,0.103616245,0.004196458
0.241763336,0.301,1.2,1015,2.20E-09,13.28903654,1.08,28.84,101.3,2,0.0148,0.040605556,0.073,293,,,,,,1.81E-05,0.0011,0.039880556,0.003001012
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.27082,0.02626,364,,,,,,2.09E-05,0.0039,0.20901,0.005308854
0.164577778,0.15,1.18,1000,2.10E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.16347,0.0723,293,,,,,,1.81E-05,0.001,0.069599,0.002609962
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.072936,0.0723,293,,,,,,1.79E-05,0.001,0.11601,0.00290025
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.075223,0.029,298,,,,,,1.83E-05,0.026,0.0069663,0.000176944
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.236416667,0.073,293,,,,,,1.81E-05,0.0011,0.169802778,0.025470417
0.099722992,0.095,1.2,1593,2.59E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.048629,0.0261,293,,,,,,1.81E-05,0.000984,0.071366,0.001694942
0.052930057,0.115,9.3,1000,2.50E-09,34.7826087,1.37,28.84,794.5,3,0.001,0.0502179,0.072,298,,,,,,1.83E-05,0.001,0.422372,0.012143195
0.052930057,0.115,5.5,1094,1.72E-09,34.7826087,1.096,28.84,471,3,0.001,0.080539,0.07384,298,,,,,,1.83E-05,0.00135,0.19941,0.005733037
0.052930057,0.115,5.761,789.45,2.10E-09,34.7826087,1.096,28.01,500,3,0.001,0.053,0.022564,293,,,,,,1.75E-05,0.00122,0.1349,0.003878375
0.052930057,0.115,1.15,810,1.04E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.011,0.0243,293,,,,,,1.75E-05,0.0028,0.014298,0.000411067
0.223214286,0.14,1.180052226,997,2.51E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.1418701,0.0713,298,,,,,,1.81E-05,0.00089,0.17390628,0.00608672
0.075577757,0.1455,1.2,995,2.60E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.080574,0.071,303,,,,,,1.81E-05,0.0007998,0.077409,0.002815752
0.052930057,0.115,11.46,865,5.03E-09,34.7826087,1.096,28.01,1000,3,0.001,0.032,0.0283,293,,,,,,1.75E-05,0.00059,0.12521,0.003599787
1.69,0.1,1.17,1035.5,2.58E-09,40,1.3,28.84,101.3,2,0.013,0.106,0.0717,303,,,,,,1.86E-05,0.00869,0.076550364,0.001913759
0.4975,0.1,1.200548,795,3.69E-09,40,1.59,28.84,101.3,3,0.0005,0.37528,0.028,293,,,,,,1.83E-05,0.0029,0.10756,0.002689
2.703893607,0.316,2.246010745,897,4.35E-09,12.65822785,2.24,28.01,200,8,0.005,0.083943225,0.0287,300,,,,,,1.66E-05,0.00059,0.3870269,0.030575125
1.09,0.162,1.2,1000,2.50E-09,24.69135802,1.687392,28.84,101.3,3,0.00132,0.029577654,0.0723,298,,,,,,1.81E-05,0.001,0.03481943,0.001410187
0.099722992,0.095,1.2,867,3.22E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.052725,0.0286,293,,,,,,1.81E-05,0.000669,0.086,0.0020425
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.23218,0.02626,364,,,,,,2.09E-05,0.0039,0.16544,0.004202176
0.14,0.2,1.22,1006.6875,1.96E-09,20,6.56,28.84,101.3,4,0.001,0.022773,0.0712562,289,,,,,,1.78E-05,0.00115,0.021988,0.0010994
0.052930057,0.115,2.34,789.45,2.10E-09,34.7826087,1.096,28.01,200,3,0.001,0.076,0.022564,293,,,,,,1.75E-05,0.00122,0.14136,0.0040641
0.14,0.2,1.22,1000,2.09E-09,20,6.18,28.84,101.3,4,0.001,0.065066,0.073,289,,,,,,1.81E-05,0.0011,0.05471,0.0027355
0.14,0.2,1.22,1000,2.09E-09,20,5.1,28.84,101.3,4,0.001,0.0066962,0.073,289,,,,,,1.81E-05,0.0011,0.0065134,0.00032567
0.16,0.1,1.19,997.2,2.70E-09,40,2,28.84,101.3,2,0.004,0.007247,0.07,296,,,,,,1.82E-05,0.000913,0.007762,0.00019405
0.027777778,0.6,1.2,1015,2.20E-09,6.666666667,2.06,28.84,101.3,2,0.01,0.116952778,0.073,293,,,,,,1.81E-05,0.0011,0.097144444,0.014571667
0.177285319,0.19,1.2,1178,8.10E-10,21.05263158,1.7,28.84,101.3,7,0.001,0.0983538,0.066,298,,,,,,1.81E-05,0.01368,0.0211479,0.001004525
0.052930057,0.115,2.34,789.45,2.10E-09,34.7826087,1.096,28.01,200,3,0.001,0.053,0.022564,293,,,,,,1.75E-05,0.00122,0.10462,0.003007825
0.052930057,0.115,1.2,1094,1.72E-09,34.7826087,1.37,28.84,101.3,3,0.001,0.030291,0.07384,298,,,,,,1.83E-05,0.00135,0.035608,0.00102373
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.042533,0.029,298,,,,,,1.83E-05,0.026,0.0059925,0.00015221
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.12892,0.029,298,,,,,,1.83E-05,0.026,0.011029,0.000280137
0.075577757,0.1455,1.2,1130,1.66E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.023444,0.071,303,,,,,,1.81E-05,0.0025425,0.013905,0.000505794
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.14532199,0.029,298,,,,,,1.81E-05,0.026,0.013651419,0.000346746
0.16,0.1,1.19,1000,2.50E-09,40,2,28.84,101.3,2,0.004,0.07768,0.0723,296,,,,,,1.82E-05,0.001,0.074593,0.001864825
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.04,0.431027778,0.073,293,,,,,,1.81E-05,0.0011,0.18835,0.0282525
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.0070215,0.027,293,,,,,,1.79E-05,0.0022,0.0099644,0.00024911
2.615630231,0.1016,1.07,868,5.76E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.061062,0.0275,325,,,,,,1.93E-05,0.011,0.038603,0.000980516
0.099722992,0.095,1.2,863,3.34E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.016334,0.0284,293,,,,,,1.81E-05,0.00063,0.024406,0.000579642
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.04,0.022934722,0.073,293,,,,,,1.81E-05,0.0011,0.034852778,0.005227917
0.052930057,0.115,11.46,865,5.03E-09,34.7826087,1.096,28.01,1000,3,0.001,0.021,0.0283,293,,,,,,1.75E-05,0.00059,0.083358,0.002396542
1.69,0.1,1.17,1068.635,2.30E-09,40,1.3,28.84,101.3,2,0.013,0.077325,0.07358,302,,,,,,1.85E-05,0.0008514,0.056743,0.001418575
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.059188,0.0381,293,,,,,,1.81E-05,0.002,0.0741,0.001759875
2.703893607,0.316,2.246010745,900,3.10E-09,12.65822785,2.24,28.01,200,8,0.005,0.13395467,0.0289,300,,,,,,1.66E-05,0.00083,0.51480925,0.040669931
0.099722992,0.095,1.2,1113,4.66E-10,42.10526316,0.85,28.84,101.3,2,0.003,0.036516,0.0494,293,,,,,,1.81E-05,0.01994,0.0071575,0.000169991
0.177285319,0.19,1.2,1137.4,1.11E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.0766337,0.067,298,,,,,,1.81E-05,0.006598,0.0289072,0.001373092
2.703893607,0.316,2.246010745,897,4.35E-09,12.65822785,2.24,28.01,200,8,0.005,0.14034855,0.0287,300,,,,,,1.66E-05,0.00059,0.58287793,0.046047356
0.164577778,0.15,1.18,865,4.38E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.1870153,0.0283,293,,,,,,1.72E-05,0.000585,0.13248523,0.004968196
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.26123938,0.029,298,,,,,,1.81E-05,0.026,0.023884987,0.000606679
1.69,0.1,1.18,1010,1.82E-09,40,1.3,28.84,101.3,2,0.013,0.106,0.0722,296,,,,,,1.82E-05,0.00118,0.06181369,0.001545342
0.052930057,0.115,11.46,865,5.03E-09,34.7826087,1.096,28.01,1000,3,0.001,0.011,0.0283,293,,,,,,1.75E-05,0.00059,0.040148,0.001154255
0.164577778,0.15,1.18,865,4.38E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.017773399,0.0283,293,,,,,,1.72E-05,0.000585,0.016526476,0.000619743
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.025194,0.027,293,,,,,,1.79E-05,0.0022,0.047687,0.001192175
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.22102,0.0723,293,,,,,,1.79E-05,0.001,0.12603,0.019849725
0.099722992,0.095,1.2,1234,2.87E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.0078086,0.0387,293,,,,,,1.81E-05,0.00082,0.019995,0.000474881
0.052930057,0.115,8.072,789.45,2.10E-09,34.7826087,1.096,28.01,700,3,0.001,0.011,0.022564,293,,,,,,1.75E-05,0.00122,0.027001,0.000776279
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.043761111,0.073,293,,,,,,1.81E-05,0.0011,0.045147222,0.006772083
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.18631,0.029,298,,,,,,1.81E-05,0.026,0.050567,0.001284402
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.023349,0.02626,364,,,,,,2.09E-05,0.0039,0.040809,0.001036549
0.177285319,0.19,1.2,1178,8.10E-10,21.05263158,1.7,28.84,101.3,7,0.001,0.109374,0.066,298,,,,,,1.81E-05,0.01368,0.0231552,0.001099872
0.993366519,0.301,1.2,1015,2.20E-09,13.28903654,1.79,28.84,101.3,2,0.03,0.020942778,0.073,293,,,,,,1.81E-05,0.0011,0.0240625,0.001810703
0.052930057,0.115,5.5,1094,1.72E-09,34.7826087,1.096,28.84,471,3,0.001,0.030286,0.07384,298,,,,,,1.83E-05,0.00135,0.049852,0.001433245
0.099722992,0.095,1.2,896,1.50E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.069003,0.0315,293,,,,,,1.81E-05,0.00256,0.074054,0.001758782
2.703893607,0.316,4.090996271,900,3.10E-09,12.65822785,2.24,28.01,364.29,8,0.005,0.1,0.0289,300,,,,,,1.66E-05,0.00083,0.56406,0.04456074
0.16,0.1,1.19,997.45,2.74E-09,40,2,28.84,101.3,2,0.004,0.056424,0.06414,296,,,,,,1.82E-05,0.00089,0.088619,0.002215475
0.300332843,0.152,1.2,1015,2.20E-09,26.31578947,1.7,28.84,101.3,2,0.00833,0.026103611,0.073,293,,,,,,1.81E-05,0.0011,0.019848611,0.000754247
0.099722992,0.095,1.2,1033,2.21E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.077729,0.0322,293,,,,,,1.81E-05,0.001303,0.088109,0.002092589
7.610959782,0.158,1.18,1086,2.04E-09,25.3164557,1.5,28.84,101.3,7,0.01,0.018527,0.075,293,,,,,,1.81E-05,0.0015,0.022599,0.00089266
1.69,0.1,1.17,1040,2.61E-09,40,1.3,28.84,101.3,2,0.013,0.36625,0.0725,302,,,,,,1.85E-05,0.000831,0.15461,0.00386525
0.223214286,0.14,1.180052226,996,2.51E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.0542823,0.0685,298,,,,,,1.81E-05,0.000891,0.0904,0.003164
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.02657,0.0723,293,,,,,,1.79E-05,0.001,0.054727,0.005199065
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.1891,0.027,293,,,,,,1.79E-05,0.0022,0.13665,0.00341625
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.13108141,0.029,298,,,,,,1.83E-05,0.026,0.011140998,0.000282981
3.630027701,0.19,1.2,998,2.20E-09,21.05263158,2.2,28.84,101.3,2,0.0362,0.073735,0.0723,295,,,,,,1.81E-05,0.000961,0.049955,0.002372862
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.17752,0.029,298,,,,,,1.83E-05,0.026,0.017303,0.000439496
0.164577778,0.15,1.18,790,3.71E-09,26.66666667,3.8697,28.84,101.3,3,0.0023,0.08,0.0222,293,,,,,,1.67E-05,0.000586,0.069217,0.002595637
0.164577778,0.15,1.18,790,3.71E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.18384,0.0222,293,,,,,,1.67E-05,0.000586,0.11224,0.004209
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.13508,0.0723,293,,,,,,1.79E-05,0.001,0.15374,0.0038435
0.052930057,0.115,5.76,865,5.03E-09,34.7826087,1.096,28.01,500,3,0.001,0.032,0.0283,293,,,,,,1.75E-05,0.00059,0.098102,0.002820432
0.099722992,0.095,1.2,1593,2.59E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.0087328,0.0261,293,,,,,,1.81E-05,0.000984,0.018878,0.000448352
0.075577757,0.1455,1.2,1230,1.06E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.084852,0.071,303,,,,,,1.81E-05,0.0108486,0.019792,0.000719934
0.099722992,0.095,1.2,1234,2.87E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.079451,0.0387,293,,,,,,1.81E-05,0.00082,0.12445,0.002955687
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.1847,0.0723,293,,,,,,1.79E-05,0.001,0.1573,0.0039325
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.22507,0.029,298,,,,,,1.83E-05,0.026,0.019301,0.000490245
0.099722992,0.095,1.2,1234,2.87E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.062569,0.0387,293,,,,,,1.81E-05,0.00082,0.10469,0.002486387
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.14795,0.0723,293,,,,,,1.79E-05,0.001,0.10958,0.01725885
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.24527,0.029,298,,,,,,1.83E-05,0.026,0.013858,0.000351993
0.16,0.1,1.19,996.602,2.71E-09,40,2,28.84,101.3,2,0.004,0.042512,0.0711,296,,,,,,1.82E-05,0.000908,0.053101,0.001327525
0.14,0.2,1.22,1000,2.09E-09,20,6.59,28.84,101.3,4,0.001,0.024946,0.073,289,,,,,,1.81E-05,0.0011,0.020628,0.0010314
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.0202,0.0723,293,,,,,,1.79E-05,0.001,0.043982,0.00417829
0.075577757,0.1455,1.2,1030,2.26E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.025754,0.071,303,,,,,,1.81E-05,0.0010815,0.028563,0.001038979
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.012433,0.0723,293,,,,,,1.79E-05,0.001,0.046975,0.001174375
0.16,0.1,1.19,996.25,2.71E-09,40,2,28.84,101.3,2,0.004,0.063708,0.071125,296,,,,,,1.82E-05,0.000908,0.074459,0.001861475
0.4975,0.1,1.200548,795,3.69E-09,40,1.59,28.84,101.3,3,0.0005,0.020923,0.028,293,,,,,,1.83E-05,0.0029,0.0364,0.00091
1.09,0.162,1.2,1000,2.50E-09,24.69135802,1.5712704,28.84,101.3,3,0.00132,0.058663044,0.0723,298,,,,,,1.81E-05,0.001,0.055868328,0.002262667
0.177285319,0.19,1.2,1070,1.80E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.0219575,0.069,298,,,,,,1.81E-05,0.004365,0.0163919,0.000778615
0.694444444,0.15,1.200548,1000,2.11E-09,26.66666667,1.6,28.84,101.3,3,0.0005,0.012438,0.0723,293,,,,,,1.79E-05,0.001,0.036821,0.001380787
2.615630231,0.1016,1.07,868,5.76E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.16366,0.0275,325,,,,,,1.93E-05,0.011,0.076654,0.001947012
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.04,0.049527778,0.073,293,,,,,,1.81E-05,0.0011,0.056308333,0.00844625
2.615630231,0.1016,17.59,883,1.78E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.11515,0.0305,293,,,,,,1.79E-05,0.032,0.021896,0.000556158
0.052930057,0.115,5.761,789.45,2.10E-09,34.7826087,1.096,28.01,500,3,0.001,0.022,0.022564,293,,,,,,1.75E-05,0.00122,0.055603,0.001598586
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.0024744,0.0723,293,,,,,,1.79E-05,0.001,0.0056262,0.000534489
0.164577778,0.15,1.18,790,3.71E-09,26.66666667,1.6944,28.84,101.3,3,0.0023,0.04,0.0222,293,,,,,,1.67E-05,0.000586,0.05287,0.001982625
0.027777778,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.01,0.305361111,0.073,293,,,,,,1.81E-05,0.0011,0.178936111,0.026840417
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.02,0.023671944,0.073,293,,,,,,1.81E-05,0.0011,0.027580278,0.004137042
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.048421,0.02626,364,,,,,,2.09E-05,0.0039,0.058456,0.001484782
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.013796,0.0723,293,,,,,,1.79E-05,0.001,0.054804,0.0013701
0.4975,0.1,1.200548,795,3.69E-09,40,1.59,28.84,101.3,3,0.0005,0.09704,0.028,293,,,,,,1.83E-05,0.0029,0.06326,0.0015815
0.070644044,0.152,1.2,1015,2.20E-09,26.31578947,0.74,28.84,101.3,2,0.00404,0.086847222,0.073,293,,,,,,1.81E-05,0.0011,0.087591667,0.003328483
7.610959782,0.158,3.56,1086,2.04E-09,25.3164557,1.5,28.84,300,7,0.01,0.050057,0.075,293,,,,,,1.79E-05,0.0015,0.081942,0.003236709
0.052930057,0.115,2.34,865,5.03E-09,34.7826087,1.096,28.01,200,3,0.001,0.011,0.0283,293,,,,,,1.75E-05,0.00059,0.033649,0.000967409
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.066604,0.0381,293,,,,,,1.81E-05,0.002,0.079258,0.001882377
0.16,0.1,1.19,995.2,2.69E-09,40,2,28.84,101.3,2,0.004,0.021318,0.07013048,296,,,,,,1.82E-05,0.000921,0.025208,0.0006302
2.703893607,0.316,3.89,862,4.60E-09,12.65822785,2.24,28.01,346.3647,8,0.005,0.07,0.0277,300,,,,,,1.66E-05,0.00054,0.2875428,0.022715881
0.164577778,0.15,1.18,865,4.38E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.037022166,0.0283,293,,,,,,1.72E-05,0.000585,0.04845196,0.001816948
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.129280556,0.073,293,,,,,,1.81E-05,0.0011,0.100313889,0.015047083
0.099722992,0.095,1.2,896,1.50E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.036181,0.0315,293,,,,,,1.81E-05,0.00256,0.045458,0.001079627
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.19917376,0.029,298,,,,,,1.81E-05,0.026,0.055129346,0.001400285
2.615630231,0.1016,1.07,868,5.76E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.38857,0.0275,325,,,,,,1.93E-05,0.011,0.13676,0.003473704
1.69,0.1,1.17,1068.635,2.30E-09,40,1.3,28.84,101.3,2,0.013,0.22334,0.07358,302,,,,,,1.85E-05,0.0008514,0.13367,0.00334175
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.042954,0.02626,364,,,,,,2.09E-05,0.0039,0.059007,0.001498778
0.099722992,0.095,1.2,900,3.99E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.024708,0.0235,293,,,,,,1.81E-05,0.000461,0.050705,0.001204244
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.02367,0.073,293,,,,,,1.81E-05,0.0011,0.027275278,0.004091292
